                  Wedge	                    muS	                    muI	
           0.9022678407	           0.0945729356	           0.0000000000	
           0.9029775600	           0.0945729356	           0.0000000000	
           0.9036801822	           0.0945729356	           0.0000000000	
           0.9043757781	           0.0945729356	           0.0000000000	
           0.9050644181	           0.0945729356	           0.0000000000	
           0.9057461717	           0.0945729356	           0.0000000000	
           0.9064211077	           0.0945729356	           0.0000000000	
           0.9070892944	           0.0945729356	           0.0000000000	
           0.9077507992	           0.0945729356	           0.0000000000	
           0.9084056890	           0.0945729356	           0.0000000000	
           0.9090540299	           0.0945729356	           0.0000000000	
           0.9096958873	           0.0945729356	           0.0000000000	
           0.9103313262	           0.0945729356	           0.0000000000	
           0.9109604107	           0.0945729356	           0.0000000000	
           0.9115832044	           0.0945729356	           0.0000000000	
           0.9121997701	           0.0945729356	           0.0000000000	
           0.9128101702	           0.0945729356	           0.0000000000	
           0.9134144662	           0.0945729356	           0.0000000000	
           0.9140127193	           0.0945729356	           0.0000000000	
           0.9146049899	           0.0945729356	           0.0000000000	
           0.9151913377	           0.0945729356	           0.0000000000	
           0.9157718221	           0.0945729356	           0.0000000000	
           0.9163465017	           0.0945729356	           0.0000000000	
           0.9169154344	           0.0945729356	           0.0000000000	
           0.9174786778	           0.0945729356	           0.0000000000	
           0.9180362888	           0.0945729356	           0.0000000000	
           0.9185883237	           0.0945729356	           0.0000000000	
           0.9191348382	           0.0945729356	           0.0000000000	
           0.9196758876	           0.0945729356	           0.0000000000	
           0.9202115265	           0.0945729356	           0.0000000000	
           0.9207418090	           0.0945729356	           0.0000000000	
           0.9212667887	           0.0945729356	           0.0000000000	
           0.9217865185	           0.0945729356	           0.0000000000	
           0.9223010511	           0.0945729356	           0.0000000000	
           0.9228104384	           0.0945729356	           0.0000000000	
           0.9233147317	           0.0945729356	           0.0000000000	
           0.9238139822	           0.0945729356	           0.0000000000	
           0.9243082401	           0.0945729356	           0.0000000000	
           0.9247975555	           0.0945729356	           0.0000000000	
           0.9252819777	           0.0945729356	           0.0000000000	
           0.9257615557	           0.0945729356	           0.0000000000	
           0.9262363379	           0.0945729356	           0.0000000000	
           0.9267063723	           0.0945729356	           0.0000000000	
           0.9271717063	           0.0945729356	           0.0000000000	
           0.9276323870	           0.0945729356	           0.0000000000	
           0.9280884609	           0.0945729356	           0.0000000000	
           0.9285399741	           0.0945729356	           0.0000000000	
           0.9289869721	           0.0945729356	           0.0000000000	
           0.9294295001	           0.0945729356	           0.0000000000	
           0.9298676029	           0.0945729356	           0.0000000000	
           0.9303013246	           0.0945729356	           0.0000000000	
           0.9307307091	           0.0945729356	           0.0000000000	
           0.9311557998	           0.0945729356	           0.0000000000	
           0.9315766396	           0.0945729356	           0.0000000000	
           0.9319932709	           0.0945729356	           0.0000000000	
           0.9324057360	           0.0945729356	           0.0000000000	
           0.9328140764	           0.0945729356	           0.0000000000	
           0.9332183334	           0.0945729356	           0.0000000000	
           0.9336185478	           0.0945729356	           0.0000000000	
           0.9340147601	           0.0945729356	           0.0000000000	
           0.9344070103	           0.0945729356	           0.0000000000	
           0.9347953379	           0.0945729356	           0.0000000000	
           0.9351797823	           0.0945729356	           0.0000000000	
           0.9355603822	           0.0945729356	           0.0000000000	
           0.9359371762	           0.0945729356	           0.0000000000	
           0.9363102022	           0.0945729356	           0.0000000000	
           0.9366794979	           0.0945729356	           0.0000000000	
           0.9370451007	           0.0945729356	           0.0000000000	
           0.9374070475	           0.0945729356	           0.0000000000	
           0.9377653747	           0.0945729356	           0.0000000000	
           0.9381201188	           0.0945729356	           0.0000000000	
           0.9384713153	           0.0945729356	           0.0000000000	
           0.9388189999	           0.0945729356	           0.0000000000	
           0.9391632077	           0.0945729356	           0.0000000000	
           0.9395039734	           0.0945729356	           0.0000000000	
           0.9398413314	           0.0945729356	           0.0000000000	
           0.9401753159	           0.0945729356	           0.0000000000	
           0.9405059605	           0.0945729356	           0.0000000000	
           0.9408332986	           0.0945729356	           0.0000000000	
           0.9411573634	           0.0945729356	           0.0000000000	
           0.9414781875	           0.0945729356	           0.0000000000	
           0.9417958034	           0.0945729356	           0.0000000000	
           0.9421102432	           0.0945729356	           0.0000000000	
           0.9424215385	           0.0945729356	           0.0000000000	
           0.9427297209	           0.0945729356	           0.0000000000	
           0.9430348214	           0.0945729356	           0.0000000000	
           0.9433368710	           0.0945729356	           0.0000000000	
           0.9436359000	           0.0945729356	           0.0000000000	
           0.9439319388	           0.0945729356	           0.0000000000	
           0.9442250172	           0.0945729356	           0.0000000000	
           0.9445151647	           0.0945729356	           0.0000000000	
           0.9448024109	           0.0945729356	           0.0000000000	
           0.9450867845	           0.0945729356	           0.0000000000	
           0.9453683144	           0.0945729356	           0.0000000000	
           0.9456470290	           0.0945729356	           0.0000000000	
           0.9459229565	           0.0945729356	           0.0000000000	
           0.9461961247	           0.0945729356	           0.0000000000	
           0.9464665612	           0.0945729356	           0.0000000000	
           0.9467342934	           0.0945729356	           0.0000000000	
           0.9469993482	           0.0945729356	           0.0000000000	
           0.9472617525	           0.0945729356	           0.0000000000	
           0.9475215327	           0.0945729356	           0.0000000000	
           0.9477787152	           0.0945729356	           0.0000000000	
           0.9480333258	           0.0945729356	           0.0000000000	
           0.9482853903	           0.0945729356	           0.0000000000	
           0.9485349341	           0.0945729356	           0.0000000000	
           0.9487819826	           0.0945729356	           0.0000000000	
           0.9490265605	           0.0945729356	           0.0000000000	
           0.9492686927	           0.0945729356	           0.0000000000	
           0.9495084035	           0.0945729356	           0.0000000000	
           0.9497457172	           0.0945729356	           0.0000000000	
           0.9499806578	           0.0945729356	           0.0000000000	
